title,company,salary,url,experience,employment,schedule,work_hours
"Руководитель группы Go, Сервисы отбора кандидатов",Ozon,Not specified,https://hh.ru/vacancy/117203898,6.0,Полная,5/2,8
Senior Python developer (FastAPI),Mindbox,Up to 575000 RUR,https://hh.ru/vacancy/115998908,6.0,Полная,5/2,8
Тимлид разработки логистической системы,Navio (ООО Автотех),Not specified,https://hh.ru/vacancy/117964839,6.0,Полная,5/2,8
Data engineer (middle),HeadHunter,Not specified,https://hh.ru/vacancy/118897444,1.0,Полная,5/2,8
"Старший Data Scientist, Отбор кандидатов",Ozon,Not specified,https://hh.ru/vacancy/119040840,3.0,Полная,5/2,8
TeamLead (Go/Python Developer),Okko,Not specified,https://hh.ru/vacancy/119859396,6.0,Полная,5/2,8
"Junior Data Scientist в команду ""Разработка AI-решений БСР""",СБЕР,Not specified,https://hh.ru/vacancy/119609635,1.0,Полная,5/2,8
Системный администратор/главный специалист информационных технологий,Промышленное Строительство,Not specified,https://hh.ru/vacancy/119428390,3.0,Полная,5/2,8
Senior Manual QA специалист,Линсофтверпродакшн,100000–180000 RUR,https://hh.ru/vacancy/118713094,3.0,Полная,5/2,8
Инженер данных,ГКУ Инфогород,Not specified,https://hh.ru/vacancy/120041244,1.0,Полная,5/2,8
Руководитель группы развития и сопровождения ML-платформы,БАНК УРАЛСИБ,Not specified,https://hh.ru/vacancy/119179098,3.0,Полная,5/2,8
Архитектор,Всероссийский Банк Развития Регионов,Not specified,https://hh.ru/vacancy/119445444,3.0,Полная,5/2,8
Разработчик DWH(GreenPlum),Синимекс,Not specified,https://hh.ru/vacancy/116497400,3.0,Полная,5/2,8
Middle Разработчик Python и/или C++ (системная разработка модулей для беспилотного транспорта),"ТрансМашХолдинг, Группа компаний",Not specified,https://hh.ru/vacancy/119310113,3.0,Полная,5/2,8
Software Architect (Automotive),Открытая мобильная платформа,Not specified,https://hh.ru/vacancy/120029256,6.0,Полная,5/2,8
DevSecOps Engineer,VK,Not specified,https://hh.ru/vacancy/119819945,1.0,Полная,5/2,8
Python Junior / Middle AQA Engineer (МТС Веб Сервисы),МТС,Not specified,https://hh.ru/vacancy/119837743,1.0,Полная,5/2,8
Data Engineer (senior/middle),WILDBERRIES,Not specified,https://hh.ru/vacancy/119444014,3.0,Полная,5/2,8
Бизнес-аналитик / SME по прогнозированию и ML,Эдвансд,Not specified,https://hh.ru/vacancy/119507791,3.0,Полная,5/2,8
Старший инженер,СБЕР,Not specified,https://hh.ru/vacancy/119789478,,,,
Python ML engineer,Aston,Not specified,https://hh.ru/vacancy/119492151,1.0,Полная,5/2,8
Аналитик данных,Rambler&Co,Not specified,https://hh.ru/vacancy/119511145,1.0,Полная,5/2,8
Технический руководитель проекта,НТЦ Вулкан,Not specified,https://hh.ru/vacancy/118513469,3.0,Полная,5/2,8
DevOps specialist,СберМобайл,Not specified,https://hh.ru/vacancy/119970371,3.0,Полная,5/2,8
С++/QT Developer at US-based company,Pixellu,4800–5800 USD,https://hh.ru/vacancy/119890215,6.0,Полная,5/2,8
Стажер в финансовый отдел (IT проекты),Abbott Laboratories,Not specified,https://hh.ru/vacancy/119294868,,Полная,5/2,8
Senior Python Developer (Команда Поиска),Okko,Not specified,https://hh.ru/vacancy/119230144,6.0,Полная,5/2,8
Senior Python developer,Cloud.ru,Not specified,https://hh.ru/vacancy/115982309,3.0,Полная,5/2,8
Старший алгоритмист-исследователь,БЮРО 1440,Not specified,https://hh.ru/vacancy/119920137,3.0,Полная,5/2,8
Ведущий программист (team lead),НАТЕКС,Not specified,https://hh.ru/vacancy/117894207,3.0,Полная,5/2,8
Младший специалист риск-аналитик на ВТБ РОСТ,Changellenge,130000–130000 RUR,https://hh.ru/vacancy/119215558,,Полная,,
Системный инженер (middle) в VK Реклама,VK,Not specified,https://hh.ru/vacancy/119390639,3.0,Полная,5/2,8
DevOps инженер,СБЕР,Not specified,https://hh.ru/vacancy/119133368,,,,
IT Operations Specialist / Специалист по ИТ-поддержке,Procter & Gamble,Up to 150000 RUR,https://hh.ru/vacancy/90286261,1.0,Полная,5/2,8
Менеджер технических проектов в Яндекс,Яндекс Команда для бизнеса,Up to 100000 RUR,https://hh.ru/vacancy/119669033,1.0,Полная,5/2,8
Редактор новостной инфографики,Информационное агентство России ТАСС,Not specified,https://hh.ru/vacancy/119551347,1.0,Полная,5/2,8
"Консультант, Группа интеграции и разделения бизнеса",Kept (Кэпт),Not specified,https://hh.ru/vacancy/119497460,1.0,Полная,5/2,8
Инженер данных/ Аналитик данных,Центр Биометрических Технологий,Not specified,https://hh.ru/vacancy/119486029,3.0,Полная,5/2,8
AppSec-инженер,VK,Not specified,https://hh.ru/vacancy/119245847,3.0,Полная,5/2,8
Backend-разработчик,Круст,Not specified,https://hh.ru/vacancy/119813862,3.0,Полная,5/2,8
Аналитик в офис на Стартовую,ГКУ Дирекция по Координации Деятельности Медицинских Организаций Департамента Здравоохранения Города Москвы,From 90000 RUR,https://hh.ru/vacancy/118424302,1.0,Полная,5/2,8
Стажер-автотестировщик,Цитадель,Not specified,https://hh.ru/vacancy/118313612,,Частичная,5/2,4
Аналитик данных (билетная система),ГКУ Инфогород,Not specified,https://hh.ru/vacancy/118573575,3.0,Полная,5/2,8
System Engineer/DevOps,Т1,Not specified,https://hh.ru/vacancy/117341474,3.0,Полная,5/2,8
Ведущий специалист по информационной безопасности,Единая Европа-Элит и сеть магазинов СТИЛЬПАРК,Not specified,https://hh.ru/vacancy/120112490,3.0,Полная,5/2,8
"Разработчик телефонии (Python, FreeSWITCH)",VOXYS,Not specified,https://hh.ru/vacancy/118773795,6.0,Полная,5/2,8
Разработчик Баз Данных (Лукоморье),Ростелеком Информационные Технологии,Not specified,https://hh.ru/vacancy/119608399,3.0,Полная,5/2,8
Middle инженер данных,Точка,Up to 360000 RUR,https://hh.ru/vacancy/117958546,1.0,Полная,5/2,8
Финансовый аналитик,Банк ВТБ (ПАО),Not specified,https://hh.ru/vacancy/114564803,1.0,Полная,5/2,8
Fullstack разработчик ЦНП,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,Not specified,https://hh.ru/vacancy/117085200,1.0,Полная,5/2,8
Инженер-аналитик,Далее,Not specified,https://hh.ru/vacancy/119432838,3.0,Полная,5/2,8
Архитектор (Solution Architect),СБЕР,Not specified,https://hh.ru/vacancy/120100700,6.0,Полная,2/2,12
Руководитель направления hr-аналитики,Крупная финансовая компания (федерального масштаба),Not specified,https://hh.ru/vacancy/119608309,3.0,Полная,5/2,8
Site Reliability Engineer (SRE),Т-Банк,Not specified,https://hh.ru/vacancy/117952356,3.0,Полная,5/2,8
Руководитель направления реализации стратегических программ,Крупный российский банк,Not specified,https://hh.ru/vacancy/119537034,6.0,Полная,5/2,8
Аналитик DWH,СБЕР,Not specified,https://hh.ru/vacancy/119349000,,,,
Инженер по автоматизации,Московская Биржа,Not specified,https://hh.ru/vacancy/119404456,3.0,Полная,5/2,8
Старший консультант (Retail & E-commerce),Б1 (B1),Not specified,https://hh.ru/vacancy/119252023,3.0,Полная,5/2,8
Инженер данных (Data engineer),"Бристоль, сеть магазинов",210000–210000 RUR,https://hh.ru/vacancy/115703131,1.0,Полная,5/2,8
Разработчик-алгоритмист (JavaScript/TypeScript),Интерфакс,Not specified,https://hh.ru/vacancy/117948185,1.0,Полная,5/2,8
Лид продуктовой аналитики последней мили,ВкусВилл,Not specified,https://hh.ru/vacancy/119883086,,Полная,5/2,8
Ведущий инженер отдела мониторинга актуальности единой электронной картографической основы,ППК Роскадастр,From 100000 RUR,https://hh.ru/vacancy/119015819,3.0,Полная,5/2,8
Аналитик,ГКУ Инфогород,Not specified,https://hh.ru/vacancy/119197763,3.0,Полная,5/2,8
Инженер-программист радиоэлектронных средств и комплексов,Гаскар Интеграция,Not specified,https://hh.ru/vacancy/119100316,3.0,Полная,5/2,8
Младший аналитик данных // Junior data analyst,"Группа компаний «Group4Media», Управляющая компания",Not specified,https://hh.ru/vacancy/119157837,1.0,Полная,5/2,8
Администратор Linux,VK,Not specified,https://hh.ru/vacancy/119599988,1.0,Полная,5/2,8
"Senior Backend Engineer (Python, Go)",MIRA TECH L.L.C,Not specified,https://hh.ru/vacancy/119079738,3.0,Полная,5/2,8
Программист C/С++,НЭПТ,180000–270000 RUR,https://hh.ru/vacancy/118794303,3.0,Полная,5/2,8
Аналитик-разработчик,Спортмастер,Not specified,https://hh.ru/vacancy/119153919,1.0,Полная,5/2,8
Стажер в сфере аналитики и статистики,Центральный банк Российской Федерации (Банк России),Not specified,https://hh.ru/vacancy/119669487,,Частичная,5/2,
Аналитик данных,Ассоциация Специалистов Городского Хозяйства по Развитию Управленческих Кадров,120000–144000 RUR,https://hh.ru/vacancy/118177788,1.0,Полная,5/2,8
Младший аналитик данных (Клиентский сервис),Ozon,Not specified,https://hh.ru/vacancy/119026660,1.0,Полная,5/2,8
Ведущий разработчик (ETL),АШАН Ритейл Россия,Not specified,https://hh.ru/vacancy/119631400,,,,
Data Scientist в команду риск - моделирования для сегментов корпоративного и/или малого бизнеса,Банк ВТБ (ПАО),Not specified,https://hh.ru/vacancy/117355090,1.0,Полная,5/2,8
Инженер-программист микроконтроллеров (Middle),Актив,Not specified,https://hh.ru/vacancy/49784077,3.0,Полная,5/2,8
Тech Lead,Т-Банк,Not specified,https://hh.ru/vacancy/114840284,6.0,Полная,5/2,8
Разработчик Embedded Linux,Кадровое агентство SELENA GROUP,Up to 350000 RUR,https://hh.ru/vacancy/119196208,3.0,Полная,5/2,8
TL Data Scientist,Платформа ОФД,Up to 459000 RUR,https://hh.ru/vacancy/117519659,6.0,Полная,5/2,8
Разработчик Golang/Golang Developer (xData),Группа компаний Астра,Not specified,https://hh.ru/vacancy/119602544,3.0,Полная,5/2,8
"Специалист по статическому анализу (C, Linux)",АМИКОН,Not specified,https://hh.ru/vacancy/117964324,,Частичная,,45678
Аналитик данных,Ozon,Not specified,https://hh.ru/vacancy/118209474,1.0,Полная,5/2,8
Аналитик данных в службу внутреннего аудита,ИНТЕР РАО ОЦО,Up to 205683 RUR,https://hh.ru/vacancy/119606271,3.0,Полная,5/2,8
Риск-аналитик по рыночным рискам (Управление активами),Компания БКС,Not specified,https://hh.ru/vacancy/118188594,1.0,Полная,5/2,8
Специалист по оценке кредитных рисков,Северсталь,Not specified,https://hh.ru/vacancy/119340906,3.0,Полная,5/2,8
DevOps разработчик (СберБизнес),СБЕР,Not specified,https://hh.ru/vacancy/120067590,,,,
Инженер по сопровождению (Глобальные рынки),СБЕР,Not specified,https://hh.ru/vacancy/119325531,,,,
Программист-алгоритмист,Наймиум,From 250000 RUR,https://hh.ru/vacancy/118846616,1.0,Полная,5/2,8
ДБА PostgreSQL / DBA,Сеть Партнерств,From 350000 RUR,https://hh.ru/vacancy/118781193,6.0,Полная,5/2,8
ML-инженер,DDX Fitness,Not specified,https://hh.ru/vacancy/119496286,1.0,Полная,5/2,8
Риск-менеджер в отдел финансовой устойчивости и платежеспособности страховых организаций,Центральный банк Российской Федерации (Банк России),Not specified,https://hh.ru/vacancy/120126129,3.0,Полная,5/2,8
Infrastructure Engineer/DevOps (to Cyprus),Headshot,5000–6000 EUR,https://hh.ru/vacancy/119333443,3.0,Полная,5/2,8
ML/AI Инженер,Интерфакс,Not specified,https://hh.ru/vacancy/119476186,3.0,Полная,5/2,9
Специалист по направлению разведки киберугроз (TI),Газпромнефть-Снабжение,Not specified,https://hh.ru/vacancy/118817698,1.0,Полная,5/2,8
